Domain,Construct,Subconstruct,GABAergic cells,Microglia,Pyramidal cells,Betz Cells,Granule cells,medium spiny neurons,Purkinje Cells,Von Economo neurons,Glia,Neurons,Alpha Motor Neurons,Cochlear hair cells,Dopaminergic neurons,Fibroblasts,Intrinsically photosensitive retinal ganglion cells,Magnocellular oxytocin neurons,Pineal cells,Pituitary cells,SCN “clock” cells,Cortical and limbic inhibitory interneurons,Distinct types of inhibitory neurons,Intracortical Inhibitory Interneurons,Parvalbumin-positive interneurons,Striatal Interneurons,rods and cones,Hippocampal,Inhibitory and excitatory interneurons,prefrontal,"Thalamus (median thalamic nuclei, reticular nucleus)",Basal Forebrain Nuclei,Central Nucleus Amygdala,Dorsal Raphe,Locus Coeruleus,Magno (non-linear gain control),Neurons of laterodorsal tegmental nucleus,Neurons of posterior hypothalamic region (tuberomammillary nucleus),Pars tuberalis cells,Parvo,Pedunculopontine tegmental nucleus (PPT),Substantia Nigra,Tuberomammillary Nucleus,Ventral Tegmental Area,Anterior hypothalamus and basal forebrain,"Brainstem (e.g., LC, Raphe, LDT/PPT, VTA)",Calbindin,Calretinin,Face selective neurons,Lateral and perifornical hypothalamus,"Lateral, perifornical, and dorsomedial hypothalamus",Mirror neurons,Ribbon synapses
Social Processes,Affiliation and Attachment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social Processes,Social Communication,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social Processes,Social Communication,Reception of Facial Communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Social Processes,Social Communication,Production of Facial Communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social Processes,Social Communication,Reception of Non-Facial Communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social Processes,Social Communication,Production of Non-Facial Communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social Processes,Perception and Understanding of Self,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social Processes,Perception and Understanding of Self,Agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social Processes,Perception and Understanding of Self,Self-Knowledge,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social Processes,Perception and Understanding of Others,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
